phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5921604,out-call,1823,31.4528667481,34.403808201
050-8289364,out-call,2889,31.4767393213,34.4439715462
050-6539218,out-call,90,31.4402826695,34.4015146667
050-1668294,in-call,77,31.4393863516,34.4034421816
050-5792268,out-call,29,31.4133826355,34.3705785773
050-8828789,in-call,387,31.4322638192,34.3650370804
050-1220763,in-call,27,31.4324339179,34.3778357123
050-3713449,out-call,43,31.4360976126,34.3991730018
050-6316884,out-call,69,31.4356666449,34.4057803797
050-1712988,in-call,45,31.4634371764,34.412077909
050-8173916,out-call,94,31.3923250456,34.364080403
